source,partition,cv_dataset,cv_split,filename,path,phash,dhash,min_phash_dist_to_kvasir,min_dhash_dist_to_kvasir,nearest_kvasir_file
cv2024,training_SEE-AI,SEE-AI,training,image00279.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00279.jpg,803f45e6979c1b93,e0c23870e8c1e0f0,12,10,5e9beaf4e66142c8_49304.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00280.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00280.jpg,853752c943672f36,f0b866e6e2e2f6e4,14,9,5e9beaf4e66142c8_49283.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00281.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00281.jpg,853e13c947f05ace,fcbe3787e2f2e2c8,14,11,3ada4222967f421d_11471.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00282.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00282.jpg,903f57c0528f4bf1,fcbe7bb8b8f1f0f0,12,8,c11b28a8b2344716_46488.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00351.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00351.jpg,95334ce643466b6d,dcbc5dd8c8e9e4f0,14,11,89cdd41258c542c5_3812.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00649.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00649.jpg,843c53c746cb3bd8,e0b6b0eca4c2f0f8,12,10,5e9beaf4e66142c8_41116.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00716.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00716.jpg,956b502d52e55a9d,f0b6f6c68737b6f8,10,13,48579eec79784294_18099.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00720.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00720.jpg,c491176a175f5b38,f0f0f0c6c7e1e6e4,10,9,df6b47bafe5143f5_13230.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00721.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00721.jpg,c0c717794b1f3ac2,f0e6e5c393b3b0d8,12,12,7ad22d50ebaf4596_31269.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00722.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00722.jpg,c49511624f3b4e5f,f0b0e0e3e1c5d2f0,12,8,8885668afb844852_24278.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00729.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00729.jpg,849b194946ec5a7f,f09acee7cfebb6fc,12,11,dac1e27f7e4d4ef5_22615.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00731.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00731.jpg,916e5cd866665b31,e8b8dcce9ed8dcf8,16,9,7a47e8eacea04e64_63552.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00732.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00732.jpg,9467539246c96ab7,ccde27a72cbdbaf8,12,13,3ada4222967f421d_2748.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00782.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00782.jpg,95b445cb12a71bdc,f0f67cfc9c49e2e4,12,11,4560e83f9afc4685_20358.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00783.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00783.jpg,c13746da1b683ae6,f8e6ccd8d8c9e2c0,14,7,8885668afb844852_15853.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00786.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00786.jpg,c4d80133167c6f3f,f0d0a2a0e8c192c8,14,9,7a47e8eacea04e64_63569.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00787.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00787.jpg,c4dc0963961c6f6b,f0d2a0acecc59ac0,14,13,c11b28a8b2344716_27358.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00841.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00841.jpg,95cc413a0a0f7adf,f48e44d43e8c8ed8,14,12,8885668afb844852_35678.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00852.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00852.jpg,959642719ac66f1b,dcbefef4f85ab2f0,16,9,64440803f87b4843_18932.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00858.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00858.jpg,cc3e05c94bf04fa6,c08220916160a0e0,16,8,8885668afb844852_35580.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00859.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00859.jpg,c03f15c85ec53f91,c08241e1f1e1f0f0,12,6,bc84479c66fe4da6_24462.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00860.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00860.jpg,943e52d04bc93bcd,f8f4b6f173bcf0e0,14,11,fe5d372e43f94f68_2533.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00861.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00861.jpg,953b53d91dc41a36,f8fabdf6fef0e0f0,10,8,7a47e8eacea04e64_52385.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00862.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00862.jpg,943e13ca5e324adb,fcf4aef4e0e0f0f0,14,7,dca1377dec974312_5896.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00869.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00869.jpg,c06c15ad0f7f3e24,e0e0a1e1f1f1d0d8,12,7,48579eec79784294_5141.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00878.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00878.jpg,c09d15685f3f6a13,f0f0f0e0e081c2f0,14,6,89cdd41258c542c5_4270.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00879.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00879.jpg,c0bd156a5ab46f07,f0f0e080c1c1e0f0,14,6,dca1377dec974312_14534.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00914.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00914.jpg,c495534e13db4e71,f0f0e0e8c4e4f2f0,12,6,3c8d5f0b90d7475d_3409.jpg
cv2024,training_SEE-AI,SEE-AI,training,image00951.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image00951.jpg,9597426cd7621e53,ecbe7c3c1e2e92c8,14,9,6cb700585c4f4070_12787.jpg
cv2024,training_SEE-AI,SEE-AI,training,image01137.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image01137.jpg,c599154a0b657ee6,e0f04cd2e9e5c6c4,14,11,7a47e8eacea04e64_8377.jpg
cv2024,training_SEE-AI,SEE-AI,training,image01247.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image01247.jpg,90cf433346751f66,d8b0b0b0ac989cd8,10,7,6cb700585c4f4070_18997.jpg
cv2024,training_SEE-AI,SEE-AI,training,image01249.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image01249.jpg,90c718734e3967ce,ccf0e0f0ec8cb8f0,12,7,64440803f87b4843_7559.jpg
cv2024,training_SEE-AI,SEE-AI,training,image01273.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image01273.jpg,954e52bf5acd4a84,f0f0f0fcfcfefefc,14,2,3ada4222967f421d_2748.jpg
cv2024,training_SEE-AI,SEE-AI,training,image01299.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image01299.jpg,953f57d85ab05a90,fcfcf8f8f0f0f0f0,10,3,0531325b64674948_8340.jpg
cv2024,training_SEE-AI,SEE-AI,training,image01323.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image01323.jpg,c0d0052f17d75b7c,f0b0b0988723d3d0,8,11,bca26705313a4644_23383.jpg
cv2024,training_SEE-AI,SEE-AI,training,image01399.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image01399.jpg,c19413ca4e335bdb,f8b0928ea3d3daf0,12,13,dca1377dec974312_14506.jpg
cv2024,training_SEE-AI,SEE-AI,training,image01535.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image01535.jpg,c196126c1e736fc9,f0b0c98496d690d0,14,9,df6b47bafe5143f5_2755.jpg
cv2024,training_SEE-AI,SEE-AI,training,image01690.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image01690.jpg,c47c10cb87c83f9d,e0943ce2e021b0e0,14,11,fb86bc87d3874cd7_12448.jpg
cv2024,training_SEE-AI,SEE-AI,training,image01797.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image01797.jpg,956a55a94b8d4ab5,d0942cbefefcfefc,10,8,dc221ccc65d34010_84262.jpg
cv2024,training_SEE-AI,SEE-AI,training,image02150.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image02150.jpg,d14a12ae527d1fa5,f0f0f0f0f0f0f0f0,12,1,d369e4f163df4aba_3985.jpg
cv2024,training_SEE-AI,SEE-AI,training,image02152.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image02152.jpg,d53312ec52752bb8,f8f8f8f0f0e0e0e0,14,2,0531325b64674948_10121.jpg
cv2024,training_SEE-AI,SEE-AI,training,image02535.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image02535.jpg,9f5ad0b44be02ed8,e070314b073ebcf0,18,13,fb86bc87d3874cd7_10688.jpg
cv2024,training_SEE-AI,SEE-AI,training,image02579.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image02579.jpg,84c651317b8c4edf,dcec64668e7ff2f0,12,12,3c8d5f0b90d7475d_11070.jpg
cv2024,training_SEE-AI,SEE-AI,training,image02595.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image02595.jpg,93343496cbd87aca,7cde23e9c9f0f0f0,16,10,8885668afb844852_3922.jpg
cv2024,training_SEE-AI,SEE-AI,training,image02596.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image02596.jpg,9731319752987ada,7ce693696874f0f8,14,13,64440803f87b4843_9555.jpg
cv2024,training_SEE-AI,SEE-AI,training,image02597.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image02597.jpg,ce35359ec3d83660,76d2a1e9e870f0e0,16,11,dc221ccc65d34010_84153.jpg
cv2024,training_SEE-AI,SEE-AI,training,image02598.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image02598.jpg,cf35349ec3c81e70,769269e96971e0c0,16,13,dc221ccc65d34010_84153.jpg
cv2024,training_SEE-AI,SEE-AI,training,image02599.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image02599.jpg,cf35349e83609e72,7e9261e96971a2c0,18,14,dac1e27f7e4d4ef5_4312.jpg
cv2024,training_SEE-AI,SEE-AI,training,image02600.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image02600.jpg,de2d619e86f01f30,7cd2f9697878b8c0,18,9,8885668afb844852_15879.jpg
cv2024,training_SEE-AI,SEE-AI,training,image02602.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image02602.jpg,d83f61f89e609b30,7cd6f130303082c0,18,9,d369e4f163df4aba_9719.jpg
cv2024,training_SEE-AI,SEE-AI,training,image02603.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image02603.jpg,cc37309c87721fd2,7cf2e160623294c0,12,11,5bb1d3cc7dc64cec_16629.jpg
cv2024,training_SEE-AI,SEE-AI,training,image02604.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image02604.jpg,cc1f30fc8fe21ec0,74b2e160623084c0,16,11,04a78ef00c5245e0_48515.jpg
cv2024,training_SEE-AI,SEE-AI,training,image02605.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image02605.jpg,cc1f307c8fe23ec0,7eb26162721080c0,18,9,04a78ef00c5245e0_48515.jpg
cv2024,training_SEE-AI,SEE-AI,training,image02606.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image02606.jpg,cc1f713987dc0e70,f4f26560e23490c0,14,12,8885668afb844852_8175.jpg
cv2024,training_SEE-AI,SEE-AI,training,image02609.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image02609.jpg,a5565aa5b4564f4a,d4b276c6c6f6b2d0,18,10,6cb700585c4f4070_14830.jpg
cv2024,training_SEE-AI,SEE-AI,training,image02610.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image02610.jpg,85b554b696565a5a,fcf6710e0b71e0e0,12,12,04a78ef00c5245e0_48817.jpg
cv2024,training_SEE-AI,SEE-AI,training,image02617.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image02617.jpg,91e5171b16336b2d,d8e2c29c35199cfc,12,12,0531325b64674948_10097.jpg
cv2024,training_SEE-AI,SEE-AI,training,image02627.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image02627.jpg,956545cf16335a99,f0f2b83c38f0f0f0,10,8,ed02f27ef36f483e_4465.jpg
cv2024,training_SEE-AI,SEE-AI,training,image02811.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image02811.jpg,94c751c61a1e6b3d,d0f2f27870f0b0f8,14,7,d7a271f233ba4a40_11160.jpg
cv2024,training_SEE-AI,SEE-AI,training,image02957.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image02957.jpg,c48d16fc5bd83ab0,f0e2e0e2c0d4a4e8,14,7,64440803f87b4843_9607.jpg
cv2024,training_SEE-AI,SEE-AI,training,image05171.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image05171.jpg,90bd465a4bc22b6f,f0f6f2f379b9c4e8,16,11,7a47e8eacea04e64_63590.jpg
cv2024,training_SEE-AI,SEE-AI,training,image05172.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image05172.jpg,953f45e14f242eb2,e4f07cf4d8d8b4f0,14,8,64440803f87b4843_18714.jpg
cv2024,training_SEE-AI,SEE-AI,training,image05173.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image05173.jpg,941d43eb0f677618,e0f0fc36b0e8e8e4,16,9,04a78ef00c5245e0_48827.jpg
cv2024,training_SEE-AI,SEE-AI,training,image05176.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image05176.jpg,d094046f0fd93f6a,f0e4f8f0f070b0c0,14,4,0531325b64674948_10336.jpg
cv2024,training_SEE-AI,SEE-AI,training,image05177.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image05177.jpg,d13b06c646ea5ee4,e8b8989880c0e0e0,12,5,131368cc17e44240_5512.jpg
cv2024,training_SEE-AI,SEE-AI,training,image05676.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image05676.jpg,d1e5041676661bdb,f4f0911058f0f0f0,12,9,4560e83f9afc4685_6722.jpg
cv2024,training_SEE-AI,SEE-AI,training,image05686.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/SEE-AI/image05686.jpg,8d87507b1b781fc4,f8e476727070a2d0,14,10,4560e83f9afc4685_20344.jpg
